id,title,subtitle,href,rel,updated,name,email,icon,summary,category,published,point,content
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PG22000013754","SHOOTING - COLD at 17700 E BURNSIDE ST, GRSM",,,,2022-04-15T12:26:17.0-07:00,,,,"SHOOTING - COLD at 17700 E BURNSIDE ST, GRSM [Gresham Police #PG22000013754]",,2022-04-15T11:57:12.0-07:00,45.521520 -122.480391,"<dl>
						<dt>ID:</dt>
						<dd>PG22000013754</dd>
						<dt>Call Type:</dt>
						<dd>SHOOTING - COLD</dd>
						<dt>Address:</dt>
						<dd>17700 E BURNSIDE ST, GRSM</dd>
						<dt>Agency:</dt>
						<dd>Gresham Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:26:17 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099977","BURGLARY - COLD at 2300 NE 51ST AVE, PORT",,,,2022-04-15T12:27:23.0-07:00,,,,"BURGLARY - COLD at 2300 NE 51ST AVE, PORT [Portland Police #PP22000099977]",,2022-04-15T11:51:42.0-07:00,45.539606 -122.611064,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099977</dd>
						<dt>Call Type:</dt>
						<dd>BURGLARY - COLD</dd>
						<dt>Address:</dt>
						<dd>2300 NE 51ST AVE, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:27:23 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099992","DISTURBANCE - PRIORITY at 700 SE 151ST AVE, PORT",,,,2022-04-15T13:06:35.0-07:00,,,,"DISTURBANCE - PRIORITY at 700 SE 151ST AVE, PORT [Portland Police #PP22000099992]",,2022-04-15T11:51:09.0-07:00,45.516810 -122.507852,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099992</dd>
						<dt>Call Type:</dt>
						<dd>DISTURBANCE - PRIORITY</dd>
						<dt>Address:</dt>
						<dd>700 SE 151ST AVE, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 1:06:35 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099932","THEFT - COLD at 800 N LOMBARD ST, PORT",,,,2022-04-15T12:45:02.0-07:00,,,,"THEFT - COLD at 800 N LOMBARD ST, PORT [Portland Police #PP22000099932]",,2022-04-15T11:44:48.0-07:00,45.577333 -122.675243,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099932</dd>
						<dt>Call Type:</dt>
						<dd>THEFT - COLD</dd>
						<dt>Address:</dt>
						<dd>800 N LOMBARD ST, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:45:02 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099949","UNWANTED PERSON at 2000 NW HOYT ST, PORT",,,,2022-04-15T12:49:57.0-07:00,,,,"UNWANTED PERSON at 2000 NW HOYT ST, PORT [Portland Police #PP22000099949]",,2022-04-15T11:43:10.0-07:00,45.527260 -122.692787,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099949</dd>
						<dt>Call Type:</dt>
						<dd>UNWANTED PERSON</dd>
						<dt>Address:</dt>
						<dd>2000 NW HOYT ST, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:49:57 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099972","THREAT - COLD at 1100 SW 2ND AVE, PORT",,,,2022-04-15T12:17:14.0-07:00,,,,"THREAT - COLD at 1100 SW 2ND AVE, PORT [Portland Police #PP22000099972]",,2022-04-15T11:31:18.0-07:00,45.515058 -122.676413,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099972</dd>
						<dt>Call Type:</dt>
						<dd>THREAT - COLD</dd>
						<dt>Address:</dt>
						<dd>1100 SW 2ND AVE, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:17:14 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099920","THREAT - COLD at 12000 SE MARKET ST, PORT",,,,2022-04-15T12:42:40.0-07:00,,,,"THREAT - COLD at 12000 SE MARKET ST, PORT [Portland Police #PP22000099920]",,2022-04-15T11:27:13.0-07:00,45.511282 -122.539479,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099920</dd>
						<dt>Call Type:</dt>
						<dd>THREAT - COLD</dd>
						<dt>Address:</dt>
						<dd>12000 SE MARKET ST, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:42:40 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099969","ACCIDENT - NON INJURY at NB I5 FWY AT / EB I84 FWY EXIT, PORT",,,,2022-04-15T12:14:12.0-07:00,,,,"ACCIDENT - NON INJURY at NB I5 FWY AT / EB I84 FWY EXIT, PORT [Portland Police #PP22000099969]",,2022-04-15T11:14:30.0-07:00,45.511851 -122.667217,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099969</dd>
						<dt>Call Type:</dt>
						<dd>ACCIDENT - NON INJURY</dd>
						<dt>Address:</dt>
						<dd>NB I5 FWY AT / EB I84 FWY EXIT, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:14:12 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099964","ACCIDENT - UNKNOWN INJURY at SW 13TH AVE / SW MARKET ST, PORT",,,,2022-04-15T12:25:13.0-07:00,,,,"ACCIDENT - UNKNOWN INJURY at SW 13TH AVE / SW MARKET ST, PORT [Portland Police #PP22000099964]",,2022-04-15T11:08:58.0-07:00,45.514827 -122.688392,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099964</dd>
						<dt>Call Type:</dt>
						<dd>ACCIDENT - UNKNOWN INJURY</dd>
						<dt>Address:</dt>
						<dd>SW 13TH AVE / SW MARKET ST, PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:25:13 PM PDT</dd>
					</dl>"
"tag:portlandoregon.gov,2022-04-15:cad-incidents/PP22000099963","THREAT - PRIORITY at 1200 NE BROADWAY , PORT",,,,2022-04-15T12:23:04.0-07:00,,,,"THREAT - PRIORITY at 1200 NE BROADWAY , PORT [Portland Police #PP22000099963]",,2022-04-15T11:06:41.0-07:00,45.535278 -122.652827,"<dl>
						<dt>ID:</dt>
						<dd>PP22000099963</dd>
						<dt>Call Type:</dt>
						<dd>THREAT - PRIORITY</dd>
						<dt>Address:</dt>
						<dd>1200 NE BROADWAY , PORT</dd>
						<dt>Agency:</dt>
						<dd>Portland Police</dd>
						<dt>Last Updated:</dt>
						<dd>4/15/22 12:23:04 PM PDT</dd>
					</dl>"
